,fig_num,quantity,name_mfig,num_parts_mfig,id,set_num,name_set,year,theme_id
1157,fig-005108,1,"Man - Black Jacket, Black Legs, Light Gray Cowboy Hat",4,8561,7824-1,Railway Station,1983,235
1158,fig-005109,1,"Woman - White Torso, Yellow Necklace, Blue Legs",4,8561,7824-1,Railway Station,1983,235
1159,fig-001010,1,"Man - Blue Jacket, Blue Legs, Red Hat",4,9627,7710-1,Push-Along Passenger Steam Train,1980,235
1160,fig-005101,1,"Woman - Red Torso, Blue Legs, Black Tails",4,9627,7710-1,Push-Along Passenger Steam Train,1980,235
1161,fig-000733,1,"Man - Blue Jacket, Blue Legs, Red Hat",4,9627,7710-1,Push-Along Passenger Steam Train,1980,235
1162,fig-005100,1,"Man - Red Torso, Black Legs Brown Hair",4,9627,7710-1,Push-Along Passenger Steam Train,1980,235
1163,fig-005102,1,"Man - White Torso, Red Legs, Red Hat",4,9627,7710-1,Push-Along Passenger Steam Train,1980,235
1164,fig-001010,1,"Man - Blue Jacket, Blue Legs, Red Hat",4,15332,7839-1,Car Transport Depot,1986,234
1165,fig-004974,1,"Man - Black Torso, Blue Legs, Brown Hair",4,15332,7839-1,Car Transport Depot,1986,234
1166,fig-004401,1,"Woman - Blue Torso, Red Legs",4,7644,560-1,Town House with Garden,1979,67
1167,fig-009002,1,"Man, Black Torso, Blue Legs, Red Hat",4,7644,560-1,Town House with Garden,1979,67
1168,fig-004401,1,"Woman - Blue Torso, Red Legs",4,7671,1620-2,Factory,1978,67
1169,fig-008725,1,"Man, Plain Blue, Red Hat",4,7671,1620-2,Factory,1978,67
1170,fig-008741,1,"Man, Plain Black, Black Cowboy Hat",4,7671,1620-2,Factory,1978,67
1171,fig-004401,1,"Woman - Blue Torso, Red Legs",4,12467,376-2,Town House with Garden,1978,67
1172,fig-009002,1,"Man, Black Torso, Blue Legs, Red Hat",4,12467,376-2,Town House with Garden,1978,67
1173,fig-004401,1,"Woman - Blue Torso, Red Legs",4,14219,577-1,Basic Set,1981,469
1174,fig-004400,1,"Man - Red Torso, Black Legs",4,14219,577-1,Basic Set,1981,469
1175,fig-005101,1,"Woman - Red Torso, Blue Legs, Black Tails",4,1637,6371-1,Shell Service Station,1983,67
1176,fig-008811,1,"Man, Red Jacket with Zipper and Pockets, Red Legs, White Helmet",4,1637,6371-1,Shell Service Station,1983,67
1177,fig-008812,1,"Man, White Torso with Shell Logo, Black Legs, White Cap",4,1637,6371-1,Shell Service Station,1983,67
1178,fig-005101,1,"Woman - Red Torso, Blue Legs, Black Tails",4,12908,1589-1,Town Square,1978,67
1179,fig-000534,1,"Black Torso, Black Legs, White Hat",4,12908,1589-1,Town Square,1978,67
1180,fig-000289,1,"Man, Plain Red Torso, Black Legs, Blue Hat",4,12908,1589-1,Town Square,1978,67
1181,fig-008741,1,"Man, Plain Black, Black Cowboy Hat",4,12908,1589-1,Town Square,1978,67
1182,fig-008740,1,"Woman, Plain Black Torso, Blue Legs, Black Hair",4,12908,1589-1,Town Square,1978,67
1183,fig-005101,1,"Woman - Red Torso, Blue Legs, Black Tails",4,99370,1589-1,Town Square,1978,67
1184,fig-000534,1,"Black Torso, Black Legs, White Hat",4,99370,1589-1,Town Square,1978,67
1185,fig-000289,1,"Man, Plain Red Torso, Black Legs, Blue Hat",4,99370,1589-1,Town Square,1978,67
1186,fig-008741,1,"Man, Plain Black, Black Cowboy Hat",4,99370,1589-1,Town Square,1978,67
